,Company,TypeName,Ram,OpSys,Weight,Touchscreen,IPS,PPI,Cpu_Name,HDD,SSD,Gpu brand
956,Dell,2 in 1 Convertible,8,Windows,1.24,1,0,165.6321180513006,Intel Core i5,0,256,Intel
957,HP,2 in 1 Convertible,4,Windows,1.45,1,0,135.0942111925629,Other Intel Processor,0,256,Intel
958,Dell,Ultrabook,8,Windows,1.3,0,0,276.053530085501,Intel Core i7,0,256,Intel
959,Acer,2 in 1 Convertible,4,Others,1.25,1,1,135.0942111925629,Other Intel Processor,0,0,Intel
960,Toshiba,Notebook,8,Windows,1.2,0,0,165.6321180513006,Intel Core i5,0,256,Intel
961,Lenovo,Ultrabook,8,Windows,1.36,0,1,176.23257360658386,Intel Core i5,0,256,Intel
962,Acer,Notebook,12,Windows,2.4,0,0,141.21199808219862,Intel Core i5,1000,128,Nvidia
963,Toshiba,Ultrabook,8,Windows,1.1,1,0,176.23257360658386,Intel Core i7,0,512,Intel
964,HP,Notebook,8,Windows,2.04,0,0,100.45466986113652,Intel Core i5,1000,0,Nvidia
965,Dell,Notebook,4,Linux,2.25,0,0,100.45466986113652,Intel Core i3,1000,0,AMD
966,Dell,Notebook,4,Windows,1.9,0,0,100.45466986113652,Intel Core i5,500,0,Intel
967,HP,Notebook,4,Windows,2.04,0,0,141.21199808219862,Intel Core i3,500,0,Intel
968,Dell,Gaming,32,Windows,4.42,0,1,127.33567457123112,Intel Core i7,1000,256,Nvidia
969,Lenovo,Notebook,6,Windows,2.4,0,0,141.21199808219862,Intel Core i5,0,256,Nvidia
970,Dell,2 in 1 Convertible,16,Windows,1.22,1,0,276.053530085501,Intel Core i7,0,512,Intel
971,Dell,Ultrabook,8,Windows,1.5,1,0,209.8006828649808,Intel Core i7,0,256,Intel
972,Dell,Gaming,32,Windows,4.42,0,0,127.33567457123112,Intel Core i7,1000,256,Nvidia
973,Toshiba,Notebook,8,Windows,1.95,0,0,157.3505121487356,Intel Core i5,0,256,Intel
974,Asus,Gaming,16,Windows,2.73,0,0,127.33567457123112,Intel Core i7,1000,256,Nvidia
